category,brand,condition_score,duration_days,original_price,listed_price,sold_price,is_sold
Books,Oxford,7.0,25,145.06,27.95,27.08,1
Books,Pearson,9.6,27,197.81,53.17,50.24,1
Fashion,Gucci,7.0,1,2667.96,1128.34,1129.08,1
Tech,Apple,7.4,35,4830.19,3231.69,2979.38,1
Fashion,Adidas,8.0,24,376.73,149.14,140.88,1
Tech,Dell,7.1,37,2295.49,1331.55,1241.85,1
Books,Penguin,7.8,21,41.52,6.75,6.47,1
Fashion,Adidas,5.2,5,475.04,135.07,136.85,1
Tech,Sony,8.2,47,1422.27,1045.07,945.44,1
Fashion,Chanel,8.7,6,13237.64,6928.53,7018.61,1
Fashion,Nike,5.2,34,387.5,135.08,128.28,1
Fashion,Chanel,5.9,32,12053.27,5749.2,5477.66,1
Fashion,Adidas,7.2,45,683.8,284.1,258.13,1
Books,Pearson,7.3,20,79.17,17.2,16.4,1
Books,Oxford,9.0,47,149.26,39.35,34.77,1
Books,Pearson,4.9,3,121.11,18.51,18.39,1
Books,Penguin,8.7,55,61.04,12.91,11.47,1
Books,Oxford,7.0,24,84.71,15.76,15.25,1
Fashion,Adidas,7.4,51,177.03,80.68,70.76,1
Tech,Dell,7.7,8,3353.99,1697.55,1688.48,1
Tech,Samsung,7.4,21,3838.19,2091.55,2011.92,1
Fashion,Gucci,7.3,51,7797.23,4609.77,4047.56,1
Tech,Samsung,6.0,41,1879.78,1045.85,941.35,1
Fashion,Gucci,7.5,51,4103.12,2460.91,2202.66,1
Tech,Dell,6.7,36,3983.49,2044.67,1867.61,1
Tech,Dell,7.8,24,2248.87,1226.29,1173.42,1
Books,Pearson,8.6,21,214.21,50.8,49.22,1
Books,Oxford,8.4,15,50.11,10.39,10.08,1
Books,Pearson,4.9,29,136.01,22.8,21.5,1
Fashion,Nike,3.5,10,746.99,168.16,165.06,1
Fashion,Gucci,7.7,34,8412.36,4622.02,4314.3,1
Books,Oxford,6.2,6,133.48,21.14,21.23,1
Books,Penguin,6.5,15,67.13,8.84,8.77,1
Fashion,Nike,9.1,23,360.02,174.23,165.88,1
Tech,Dell,6.6,27,3473.29,1707.88,1630.16,1
Books,Pearson,5.7,49,184.17,39.43,35.06,1
Books,Penguin,5.9,25,30.24,4.08,3.94,1
Fashion,Gucci,5.5,4,8390.95,3176.3,3215.92,1
Books,Oxford,8.2,12,47.3,9.28,9.32,1
Books,Oxford,9.9,51,87.18,25.12,22.4,1
Books,Pearson,8.7,47,213.48,60.83,54.6,1
Books,Penguin,8.5,22,56.17,9.49,9.07,1
Tech,Apple,9.0,62,3095.02,2717.75,2304.54,1
Tech,Sony,7.6,9,501.9,275.39,272.48,1
Fashion,Nike,4.3,32,530.22,158.66,149.14,1
Books,Penguin,6.9,19,25.39,3.86,3.75,1
Tech,Apple,9.4,25,2740.31,2004.09,1934.13,1
Tech,Asus,6.2,60,2398.6,1414.49,1203.06,1
Tech,Asus,7.9,64,4444.41,3141.33,2729.1,1
Tech,Apple,7.3,6,2606.59,1473.98,1490.84,1
Tech,Apple,6.8,41,4376.56,2771.86,2531.37,1
Books,Oxford,8.4,32,168.4,37.55,35.83,1
Fashion,Gucci,6.2,46,6879.36,3452.52,3163.0,1
Books,Pearson,7.6,38,115.09,27.67,25.54,1
Fashion,Adidas,5.3,42,789.27,263.44,240.4,1
Books,Penguin,7.9,39,47.66,8.46,7.66,1
Tech,Sony,4.6,9,1053.64,422.81,421.71,1
Tech,Sony,6.4,9,1259.61,617.63,619.37,1
Fashion,Adidas,5.2,47,550.79,190.99,171.2,1
Fashion,Nike,7.6,10,181.09,70.46,68.59,1
Books,Penguin,8.2,31,23.64,4.25,4.08,1
Tech,Apple,8.2,5,5604.02,3419.9,3445.25,1
Tech,Asus,6.5,55,2939.32,1789.7,1582.58,1
Books,Oxford,6.9,31,186.96,35.2,32.76,1
Books,Pearson,6.9,2,192.99,36.66,37.23,1
